"Journal Data Filtered By:  Selected Journals: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"International Journal of Environmental Research","INT J ENVIRON RES","SPRINGER INT PUBL AG","1735-6865","2008-2304","ENVIRONMENTAL SCIENCES","SCIE","2,532","3.5","Q2","0.57","10.36"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","CRIMINOLOGY & PENOLOGY","SSCI","6,461","3.4","Q1","1.03","28.57"%,
"AGGRESSION AND VIOLENT BEHAVIOR","AGGRESS VIOLENT BEH","PERGAMON-ELSEVIER SCIENCE LTD","1359-1789","1873-6335","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","6,461","3.4","Q1","1.03","28.57"%,
"JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","J RES CRIME DELINQ","SAGE PUBLICATIONS INC","0022-4278","1552-731X","CRIMINOLOGY & PENOLOGY","SSCI","2,647","2.7","Q1","1.53","12.31"%,
"PLoS One","PLOS ONE","PUBLIC LIBRARY SCIENCE","N/A","1932-6203","MULTIDISCIPLINARY SCIENCES","SCIE","816,429","2.6","Q2","0.85","99.87"%,
"JOURNAL OF CRIMINAL JUSTICE","J CRIM JUST","ELSEVIER","0047-2352","1873-6203","CRIMINOLOGY & PENOLOGY","SSCI","4,405","2.5","Q1","1.74","18.21"%,
"Frontiers in Sociology","FRONT SOCIOL","FRONTIERS MEDIA SA","N/A","2297-7775","SOCIOLOGY","ESCI","2,550","2.2","Q1","1.1","99.86"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","BEHAVIORAL SCIENCES","SCIE","2,359","2.2","Q2","0.75","45.35"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","GENETICS & HEREDITY","SCIE","2,359","2.2","Q3","0.75","45.35"%,
"BEHAVIOR GENETICS","BEHAV GENET","SPRINGER","0001-8244","1573-3297","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,359","2.2","Q2","0.75","45.35"%,
"Journal of Experimental Criminology","J EXP CRIMINOL","SPRINGER","1573-3750","1572-8315","CRIMINOLOGY & PENOLOGY","SSCI","1,855","2","Q1","1.29","33.76"%,
"American Journal of Criminal Justice","AM J CRIM JUSTICE","SPRINGER","1066-2316","1936-1351","CRIMINOLOGY & PENOLOGY","SSCI","1,883","2","Q1","1.09","13.91"%,
"Journal of Developmental and Life-Course Criminology","J DEV LIFE-COURSE CR","SPRINGER INT PUBL AG","2199-4641","2199-465X","CRIMINOLOGY & PENOLOGY","SSCI","500","1.7","Q2","0.93","30.14"%,
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","J OCCUP ENVIRON MED","LIPPINCOTT WILLIAMS & WILKINS","1076-2752","1536-5948","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,053","1.4","Q3","0.62","19.15"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
